Source,Target,Type,Label,timeset,Weight,Source_modularity_class,Target_modularity_class,Same_modularity_class
19795899,62350431,Undirected,,,104,20,17,0
19795899,76638480,Undirected,,,102,20,17,0
19795899,26817894,Undirected,,,100,20,17,0
28282857,6567254,Undirected,,,102,51,48,0
28282857,61471215,Undirected,,,101,51,47,0
28282857,29417394,Undirected,,,100,51,47,0
43028582,24790590,Undirected,,,101,1,20,0
35885233,12967886,Undirected,,,100,11,27,0
35885233,43521345,Undirected,,,101,11,27,0
40276251,7131073,Undirected,,,104,41,21,0
11112889,7131073,Undirected,,,105,41,21,0
55972344,58260222,Undirected,,,106,41,43,0
10162858,1860794,Undirected,,,102,51,23,0
10162858,66412229,Undirected,,,101,51,23,0
10162858,995292,Undirected,,,102,51,23,0
10162858,68991587,Undirected,,,101,51,23,0
10162858,70410122,Undirected,,,100,51,23,0
62264062,49823379,Undirected,,,109,34,20,0
32838409,51062759,Undirected,,,101,23,20,0
47813433,48133227,Undirected,,,103,40,20,0
70030148,28723206,Undirected,,,103,7,20,0
31036285,2581592,Undirected,,,112,49,45,0
59904894,8891123,Undirected,,,103,10,45,0
76026759,14171256,Undirected,,,102,36,45,0
76026759,11199676,Undirected,,,105,36,45,0
76026759,42425473,Undirected,,,107,36,37,0
72193177,4216807,Undirected,,,100,44,29,0
64623853,14171256,Undirected,,,106,36,45,0
64623853,11199676,Undirected,,,108,36,45,0
64623853,42425473,Undirected,,,109,36,37,0
64623853,34484467,Undirected,,,100,36,45,0
64820543,8891123,Undirected,,,102,10,45,0
62231907,51062759,Undirected,,,108,23,20,0
17962348,2581592,Undirected,,,103,49,45,0
14751213,23307326,Undirected,,,100,41,19,0
54466268,8891123,Undirected,,,102,10,45,0
59774768,2581592,Undirected,,,114,49,45,0
39229344,70328148,Undirected,,,113,45,49,0
56268747,7131073,Undirected,,,107,41,21,0
56268747,23307326,Undirected,,,101,41,19,0
8656897,2581592,Undirected,,,112,49,45,0
54138918,43694701,Undirected,,,100,8,20,0
64952423,7131073,Undirected,,,105,41,21,0
1677427,2581592,Undirected,,,104,49,45,0
46405845,42912261,Undirected,,,105,45,36,0
46405845,48717789,Undirected,,,106,45,36,0
46405845,61260809,Undirected,,,102,45,36,0
46405845,23028197,Undirected,,,100,45,36,0
75209050,51461296,Undirected,,,100,22,10,0
1382850,7131073,Undirected,,,106,41,21,0
14129827,17900921,Undirected,,,102,38,21,0
49355496,3818613,Undirected,,,102,49,11,0
73571069,2581592,Undirected,,,108,49,45,0
14785397,8891123,Undirected,,,100,10,45,0
66296955,8891123,Undirected,,,101,10,45,0
53779584,49823379,Undirected,,,113,34,20,0
37362825,2581592,Undirected,,,100,49,45,0
57580746,28723206,Undirected,,,103,7,20,0
75406726,7131073,Undirected,,,104,41,21,0
10919383,8891123,Undirected,,,106,10,45,0
64003548,35020355,Undirected,,,100,29,36,0
64003548,48390650,Undirected,,,101,29,36,0
54140381,8891123,Undirected,,,107,10,45,0
12754417,8891123,Undirected,,,104,10,45,0
54795863,23743625,Undirected,,,102,52,32,0
25435761,43694701,Undirected,,,100,8,20,0
53616299,2581592,Undirected,,,103,49,45,0
48635749,49823379,Undirected,,,109,34,20,0
29302701,6567254,Undirected,,,103,51,48,0
29302701,61471215,Undirected,,,102,51,47,0
29302701,40380320,Undirected,,,101,51,38,0
368623,7131073,Undirected,,,106,41,21,0
33988615,28723206,Undirected,,,101,7,20,0
39526430,55685156,Undirected,,,102,43,11,0
11542575,2581592,Undirected,,,107,49,45,0
30122059,24790590,Undirected,,,102,1,20,0
58237040,24790590,Undirected,,,100,1,20,0
29434201,25815160,Undirected,,,111,16,45,0
49848766,43789344,Undirected,,,138,22,36,0
49848766,27878744,Undirected,,,130,22,36,0
69804709,49823379,Undirected,,,112,34,20,0
14361586,8891123,Undirected,,,112,10,45,0
74490887,2581592,Undirected,,,105,49,45,0
23307326,784251,Undirected,,,101,19,41,0
23307326,47663781,Undirected,,,100,19,41,0
23307326,43071436,Undirected,,,100,19,41,0
